env_or_option_key,phase,tuning_option,token_source
BATCH_STRATEGY,Phase 10,BATCH_STRATEGY,explicit_env_marker
BING_SEARCH_ENDPOINT,Phase 03,BING_SEARCH_ENDPOINT,explicit_env_marker
BING_SEARCH_KEY,Phase 03,BING_SEARCH_KEY,explicit_env_marker
CAPTURE_PAGE_SCREENSHOT_FORMAT,Phase 08B,CAPTURE_PAGE_SCREENSHOT_FORMAT,explicit_env_marker
CAPTURE_PAGE_SCREENSHOT_SELECTORS,Phase 08B,CAPTURE_PAGE_SCREENSHOT_SELECTORS,uppercase_option_name
CHART_EXTRACTION_ENABLED,Parsing 09,CHART_EXTRACTION_ENABLED,uppercase_option_name
CHART_VISION_FALLBACK_ENABLED,Parsing 09,CHART_VISION_FALLBACK_ENABLED,uppercase_option_name
CORTEX_API_KEY,CORTEX,CORTEX_API_KEY,explicit_env_marker
CORTEX_BASE_URL,CORTEX,CORTEX_BASE_URL,uppercase_option_name
DEFAULT_IDENTITY_AUDIT_LIMIT,Phase 01,DEFAULT_IDENTITY_AUDIT_LIMIT,uppercase_option_name
DEFAULT_TIER_WEIGHTS,Phase 07,DEFAULT_TIER_WEIGHTS,uppercase_option_name
DOC_KIND_WEIGHTS,Phase 07,DOC_KIND_WEIGHTS,uppercase_option_name
DUCKDUCKGO_BASE_URL,Phase 03,DUCKDUCKGO_BASE_URL,explicit_env_marker
FRONTIER_DB_PATH,Phase 04,FRONTIER_DB_PATH,explicit_env_marker
GOOGLE_CSE_CX,Phase 03,GOOGLE_CSE_CX,explicit_env_marker
GOOGLE_CSE_KEY,Phase 03,GOOGLE_CSE_KEY,explicit_env_marker
HELPER_FILES_ROOT,Phase 10,HELPER_FILES_ROOT,explicit_env_marker
IMPORTS_ROOT,Daemon,IMPORTS_ROOT,explicit_env_marker
INDEXING_RESUME_MODE,Indexing,INDEXING_RESUME_MODE,explicit_env_marker
LLM_EXTRACTION_CACHE_DIR,LLM Budget,LLM_EXTRACTION_CACHE_DIR,uppercase_option_name
LLM_MODEL_EXTRACT,Phase 08,LLM_MODEL_EXTRACT,uppercase_option_name
LLM_MODEL_FAST,Phase 08,LLM_MODEL_FAST,uppercase_option_name
LLM_MODEL_PLAN,Phase 02,LLM_MODEL_PLAN,uppercase_option_name
LLM_MODEL_REASONING,Phase 08,LLM_MODEL_REASONING,uppercase_option_name
LLM_MODEL_TRIAGE,Phase 03,LLM_MODEL_TRIAGE,uppercase_option_name
LLM_MODEL_VALIDATE,Phase 08,LLM_MODEL_VALIDATE,explicit_env_marker
LLM_MODEL_WRITE,Phase 08,LLM_MODEL_WRITE,explicit_env_marker
LLM_PLAN_API_KEY,Phase 02,LLM_PLAN_API_KEY,explicit_env_marker
LLM_PLAN_BASE_URL,Phase 02,LLM_PLAN_BASE_URL,explicit_env_marker
LLM_PLAN_FALLBACK_MODEL,Phase 02,LLM_PLAN_FALLBACK_MODEL,explicit_env_marker
LLM_PLAN_PROVIDER,Phase 02,LLM_PLAN_PROVIDER,explicit_env_marker
LOCAL_INPUT_ROOT,Output,LOCAL_INPUT_ROOT,explicit_env_marker
LOCAL_OUTPUT_ROOT,Output,LOCAL_OUTPUT_ROOT,explicit_env_marker
MAX_BATCH_SIZE_CONFIRMATION,Phase 12,MAX_BATCH_SIZE_CONFIRMATION,uppercase_option_name
MAX_CANDIDATE_URLS,Discovery,MAX_CANDIDATE_URLS,uppercase_option_name
MAX_CANDIDATE_URLS_PER_PRODUCT,Discovery,MAX_CANDIDATE_URLS,explicit_env_marker
MAX_PARALLEL_PRODUCT_WORKERS,Phase 12,MAX_PARALLEL_PRODUCT_WORKERS,uppercase_option_name
MAX_RUN_SECONDS_PER_PRODUCT,Phase 12,MAX_RUN_SECONDS_PER_PRODUCT,uppercase_option_name
OUTPUT_MODE,Output,OUTPUT_MODE,explicit_env_marker
PDF_PREFERRED_BACKEND,Parsing 06,PDF_PREFERRED_BACKEND,explicit_env_marker
POLICY_BONUS,Consensus,POLICY_BONUS,uppercase_option_name
RUN_PROFILE,Discovery,RUN_PROFILE,uppercase_option_name
RUNTIME_CONTROL_FILE,Phase 00,RUNTIME_CONTROL_FILE,explicit_env_marker
RUNTIME_SCREENSHOT_MODE,Phase 08B,RUNTIME_SCREENSHOT_MODE,explicit_env_marker
SCANNED_PDF_OCR_BACKEND,Parsing 07,SCANNED_PDF_OCR_BACKEND,uppercase_option_name
SEARCH_PROVIDER,Phase 03,SEARCH_PROVIDER,uppercase_option_name
SEARXNG_BASE_URL,Phase 03,SEARXNG_BASE_URL,explicit_env_marker
SPEC_DB_DIR,Phase 06A,SPEC_DB_DIR,explicit_env_marker
STATIC_DOM_MODE,Parsing 01,STATIC_DOM_MODE,explicit_env_marker
STRUCTURED_METADATA_EXTRUCT_URL,Parsing 05,STRUCTURED_METADATA_EXTRUCT_URL,uppercase_option_name
USER_AGENT,Discovery,USER_AGENT,uppercase_option_name
VISUAL_ASSET_CAPTURE_ENABLED,Phase 08B,VISUAL_ASSET_CAPTURE_ENABLED,explicit_env_marker
VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,Phase 08B,VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,explicit_env_marker
VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,Phase 08B,VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,explicit_env_marker
VISUAL_ASSET_LLM_MAX_BYTES,Phase 08B,VISUAL_ASSET_LLM_MAX_BYTES,explicit_env_marker
VISUAL_ASSET_MAX_PHASH_DISTANCE,Phase 08B,VISUAL_ASSET_MAX_PHASH_DISTANCE,explicit_env_marker
VISUAL_ASSET_MIN_ENTROPY,Phase 08B,VISUAL_ASSET_MIN_ENTROPY,explicit_env_marker
VISUAL_ASSET_MIN_HEIGHT,Phase 08B,VISUAL_ASSET_MIN_HEIGHT,explicit_env_marker
VISUAL_ASSET_MIN_SHARPNESS,Phase 08B,VISUAL_ASSET_MIN_SHARPNESS,explicit_env_marker
VISUAL_ASSET_MIN_WIDTH,Phase 08B,VISUAL_ASSET_MIN_WIDTH,explicit_env_marker
VISUAL_ASSET_PHASH_ENABLED,Phase 08B,VISUAL_ASSET_PHASH_ENABLED,explicit_env_marker
VISUAL_ASSET_REGION_CROP_MAX_SIDE,Phase 08B,VISUAL_ASSET_REGION_CROP_MAX_SIDE,explicit_env_marker
VISUAL_ASSET_REGION_CROP_QUALITY,Phase 08B,VISUAL_ASSET_REGION_CROP_QUALITY,explicit_env_marker
VISUAL_ASSET_RETENTION_DAYS,Phase 08B,VISUAL_ASSET_RETENTION_DAYS,explicit_env_marker
VISUAL_ASSET_REVIEW_FORMAT,Phase 08B,VISUAL_ASSET_REVIEW_FORMAT,explicit_env_marker
VISUAL_ASSET_REVIEW_LG_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_LG_MAX_SIDE,explicit_env_marker
VISUAL_ASSET_REVIEW_LG_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_LG_QUALITY,explicit_env_marker
VISUAL_ASSET_REVIEW_SM_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_SM_MAX_SIDE,explicit_env_marker
VISUAL_ASSET_REVIEW_SM_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_SM_QUALITY,explicit_env_marker
VISUAL_ASSET_STORE_ORIGINAL,Phase 08B,VISUAL_ASSET_STORE_ORIGINAL,explicit_env_marker
WORKER_HEALTH_CHECK_INTERVAL_MS,Phase 11,WORKER_HEALTH_CHECK_INTERVAL_MS,uppercase_option_name
WORKER_RESTART_BACKOFF_MS,Phase 11,WORKER_RESTART_BACKOFF_MS,uppercase_option_name
WORKERS_FETCH,Phase 11,WORKERS_FETCH,planned_env_marker
WORKERS_LLM,Phase 11,WORKERS_LLM,planned_env_marker
WORKERS_PARSE,Phase 11,WORKERS_PARSE,planned_env_marker
WORKERS_SEARCH,Phase 11,WORKERS_SEARCH,planned_env_marker
